type,word,start,surrounding
email,support@dependabot.com,141981,@5.1.31) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #229 from skalenetwork/enhanc
email,support@dependabot.com,144245,.v3.0.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #251 from skalenetwork/depend
email,support@dependabot.com,144741,-v1.3.6) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #253 from skalenetwork/depend
email,truffle@5.1.27...truffle,145203,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.27...truffle***@5.1.29) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,145277,@5.1.29) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #250 from skalenetwork/depend
email,support@dependabot.com,145725,.v3.9.5) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #241 from skalenetwork/depend
email,support@dependabot.com,146520,-v1.3.4) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #252 from skalenetwork/depend
email,support@dependabot.com,147358,..0.1.4) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #245 from skalenetwork/enhanc
email,support@dependabot.com,148545,v8.10.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #237 from skalenetwork/enhanc
email,support@dependabot.com,151060,-v1.3.4) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #239 from skalenetwork/enhanc
email,truffle@5.1.26...truffle,153119,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.26...truffle***@5.1.27) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,153193,@5.1.27) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #234 from skalenetwork/enhanc
email,support@dependabot.com,154879,.v3.9.3) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #227 from skalenetwork/depend
email,support@dependabot.com,155386,-v1.3.4) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #222 from skalenetwork/depend
email,support@dependabot.com,155867,.v3.7.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #231 from skalenetwork/enhanc
email,support@dependabot.com,158853,.v0.6.8) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #218 from skalenetwork/depend
email,support@dependabot.com,159301,.v3.9.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #212 from skalenetwork/depend
email,support@dependabot.com,159806,.v1.3.3) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #216 from skalenetwork/depend
email,truffle@5.1.23...truffle,160239,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.23...truffle***@5.1.26) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,160313,@5.1.26) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #207 from skalenetwork/depend
email,support@dependabot.com,160943,.v1.3.3) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #204 from skalenetwork/depend
email,support@dependabot.com,161822,.v3.0.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #214 from skalenetwork/depend
email,support@dependabot.com,162339,v8.10.1) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #213 from skalenetwork/depend
email,support@dependabot.com,162943,.v4.7.6) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #203 from skalenetwork/depend
email,support@dependabot.com,163524,..6.0.3) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #209 from skalenetwork/enhanc
email,support@dependabot.com,170087,..6.1.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #184 from skalenetwork/depend
email,support@dependabot.com,170517,.v8.9.1) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #181 from skalenetwork/enhanc
email,truffle@5.1.22...truffle,171309,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.22...truffle***@5.1.23) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,171383,@5.1.23) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #179 from skalenetwork/enhanc
email,truffle@5.1.21...truffle,172499,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.21...truffle***@5.1.22) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,172573,@5.1.22) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #172 from skalenetwork/depend
email,support@dependabot.com,173020,.v8.9.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #168 from skalenetwork/enhanc
email,support@dependabot.com,174055,.v6.9.1) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #160 from skalenetwork/depend
email,support@dependabot.com,174549,..6.1.1) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #163 from skalenetwork/enhanc
email,support@dependabot.com,175477,.v1.2.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge branch 'beta' into develop Merge pull requ
email,support@dependabot.com,176224,.v2.5.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge branch 'develop' into enhancement/SKALE-23
email,support@dependabot.com,176897,commits) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #129 from skalenetwork/enhanc
email,support@dependabot.com,177654,.v1.2.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #156 from skalenetwork/depend
email,support@dependabot.com,178070,.v0.6.6) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #153 from skalenetwork/depend
email,support@dependabot.com,178540,.v1.2.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #152 from skalenetwork/depend
email,truffle@5.1.5...truffle,178922,](https://github.com/trufflesuite/truffle/compare/***truffle@5.1.5...truffle***@5.1.21) Signed-off-by: dependabot-preview[bot] <
email,support@dependabot.com,178995,@5.1.21) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #149 from skalenetwork/depend
email,support@dependabot.com,179443,.v3.8.3) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #142 from skalenetwork/depend
email,support@dependabot.com,179999,.v2.1.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #141 from skalenetwork/depend
email,support@dependabot.com,180429,.v8.8.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #140 from skalenetwork/depend
email,support@dependabot.com,180938,es/chai) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> SKALE-2358 Optimize iteration through slashing s
email,support@dependabot.com,181650,.v1.2.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #137 from skalenetwork/depend
email,support@dependabot.com,182114,.v6.9.1) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #135 from skalenetwork/depend
email,support@dependabot.com,182678,commits) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #136 from skalenetwork/depend
email,support@dependabot.com,183106,.v6.5.2) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #133 from skalenetwork/depend
email,support@dependabot.com,183598,.v8.2.0) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #138 from skalenetwork/depend
email,support@dependabot.com,184081,commits) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge pull request #130 from skalenetwork/enhanc
email,support@dependabot.com,184907,..2.2.4) Signed-off-by: dependabot-preview[bot] <***support@dependabot.com***> Merge branch 'develop' into enhancement/quick-fi
